Id;Group;Score;Note
CQTGRKWC;ADVANCED;54,25;A*
E6ZNNMGG;INTERMEDIATE;40,75;
D3SZITCQ;ADVANCED;60,0;A*
AK4MTCDJ;ADVANCED;60,0;A*
CGMUPUUH;ADVANCED;44,75;B
MDHD5ZUH;BEGINNER;20,75;U
MDFRUR5W;ADVANCED;58,75;A*
TRWMOCTA;INTERMEDIATE;31,75;D
XFPOEUIA;INTERMEDIATE;28,0;
A8GJFXW8;BEGINNER;9,0;U
ZQMHTBAK;BEGINNER;19,5;U
QAQGXEYH;INTERMEDIATE;28,0;E
PKPFODBT;INTERMEDIATE;22,0;U
OSGRMYM8;INTERMEDIATE;23,75;
BEGQOSWD;INTERMEDIATE;25,25;
6ZT7YZPS;BEGINNER;26,0;E
K6SF8ZH7;INTERMEDIATE;21,0;
9GBVRXRP;ADVANCED;51,0;A
D7YFGSOB;INTERMEDIATE;36,25;C
LWIOEIGN;ADVANCED;51,75;A
J2Q9ET59;BEGINNER;16,5;U
VSYE9RM4;ADVANCED;56,25;A*
RWGUQQYG;INTERMEDIATE;37,75;
LGFBCDU8;ADVANCED;;
7NXIROSF;INTERMEDIATE;;
MGIAZIQM;BEGINNER;6,0;
ZL8GKNSF;INTERMEDIATE;23,75;
ELWDWEND;INTERMEDIATE;;D
GSAWQ35X;ADVANCED;59,0;A*
ETANFYWT;ADVANCED;60,0;A*
BKHZGQAT;ADVANCED;60,0;A*
8JXCP8FS;INTERMEDIATE;49,5;A
YPCC9T7I;BEGINNER;10,5;
JQWYEQYA;BEGINNER;23,5;
H6JHBGDS;INTERMEDIATE;27,25;
NWKZXAUR;INTERMEDIATE;35,5;
PZGYDECH;INTERMEDIATE;31,0;D
MRBMGSZB;INTERMEDIATE;34,5;D
FFZFLSZN;ADVANCED;56,0;A*
Q2MMJWNX;INTERMEDIATE;29,0;E
RJFG7CZH;INTERMEDIATE;40,25;C
JWARM5TX;INTERMEDIATE;38,0;C
HAZYPVHL;INTERMEDIATE;;
AOGSDMSJ;ADVANCED;50,75;A
K77SA237;INTERMEDIATE;44,75;B
N32EJRWY;INTERMEDIATE;31,25;D
SDAKRRJJ;ADVANCED;52,0;
JOVHZPNZ;INTERMEDIATE;50,0;A
BR43JQZE;INTERMEDIATE;28,0;E
WUO44X8F;INTERMEDIATE;30,0;
ZP8JJTRI;BEGINNER;3,25;U
3BCBCHEK;ADVANCED;48,75;
MCP4AKAY;ADVANCED;58,25;A*
8CK6WCAM;ADVANCED;49,0;
FDEF6QOC;ADVANCED;47,25;B
PSMGXISO;ADVANCED;52,5;A
S5SLVKNH;INTERMEDIATE;34,75;D
GJJP8XVW;INTERMEDIATE;;
RKGZ4JHR;ADVANCED;52,0;A
JYW4YBPU;ADVANCED;55,0;A*
NXFVEYLV;ADVANCED;57,25;A*
LD7V2UPV;INTERMEDIATE;28,25;
7G7BY6SV;ADVANCED;49,25;A
9RBSGBQ3;INTERMEDIATE;35,25;
AMP7EBFM;ADVANCED;46,75;
HTMNMSQW;INTERMEDIATE;36,25;C
A8VVJNEZ;INTERMEDIATE;43,5;
OTKNCNGE;BEGINNER;16,25;U
TJX8NRQM;INTERMEDIATE;18,5;U
M2YUVHIG;BEGINNER;21,25;U
ETDDWUYQ;INTERMEDIATE;30,0;D
AVRTVYQH;INTERMEDIATE;42,25;
T849JDP8;INTERMEDIATE;25,0;E
NYSQUH5N;INTERMEDIATE;32,25;D
BZP6HRMN;INTERMEDIATE;39,0;
SKSPWKNN;INTERMEDIATE;20,5;U
V5KIJCMJ;ADVANCED;55,25;
9JPUBF7M;BEGINNER;24,0;
TPPH66RW;INTERMEDIATE;16,0;U
VBKOZWZF;INTERMEDIATE;30,5;
GEZPWXPE;BEGINNER;10,25;U
JCJGXNBX;ADVANCED;51,0;A
3SQK9VPF;INTERMEDIATE;27,25;E
IJKUH4PS;ADVANCED;60,0;A*
4UJQOXDC;INTERMEDIATE;39,25;C
KB7CT9PE;ADVANCED;52,0;A
RKEVQ4EN;INTERMEDIATE;36,0;C
5QWHR8JU;INTERMEDIATE;37,0;
VRHTYPQR;ADVANCED;60,0;A*
7EXDZP6S;ADVANCED;58,25;A*
PNAEIK5U;INTERMEDIATE;21,75;
SW4M9NCK;INTERMEDIATE;41,25;C
VPPG2IXX;BEGINNER;14,5;
EGAMEESH;INTERMEDIATE;32,25;D
SNYO8E8W;BEGINNER;31,25;D
AUUMFQDY;INTERMEDIATE;28,0;E
LJVGZSZF;BEGINNER;13,75;
WJ7XS5UY;ADVANCED;57,25;A*
JUAG6MWB;INTERMEDIATE;27,25;
BRNEK2FX;INTERMEDIATE;34,5;D
